File,Solver,Equations,Specified Time Steps,Steps Completed,Equil Iter,RH Eval,Stiff Reform,Plt Size,Termination
co01.feb,pardiso,12,10,10,20,30,10,6108,Normal
co02.feb,pardiso,368,10,6,30,36,6,62820,Normal
co04.feb,pardiso,2149,40,40,339,433,46,1833140,Normal
co07.feb,pardiso,4191,40,40,201,335,201,4763220,Normal
co08.feb,pardiso,212,10,12,105,190,18,61924,Normal
co09.feb,pardiso,1924,10,11,71,118,13,442108,Normal
co11.feb,pardiso,751,50,26,311,470,59,2744716,Normal
co12.feb,pardiso,751,50,26,311,470,59,2744716,Normal
co13.feb,pardiso,5473,50,51,217,324,53,4869712,Normal
co15.feb,pardiso,5568,50,51,389,554,56,4869712,Normal
co16.feb,pardiso,32,50,50,439,714,60,26428,Normal
co17.feb,pardiso,612,50,50,73,123,50,507484,Normal
co18.feb,pardiso,20,100,100,934,1544,106,51828,Normal
co19.feb,pardiso,1006,75,75,469,780,75,1408284,Normal
co20.feb,pardiso,5568,50,53,659,1065,86,5054296,Normal
co21.feb,pardiso,4191,40,56,554,765,64,5240644,Normal
co22.feb,pardiso,4882,10,10,125,165,14,1213148,Normal
co24.feb,pardiso,2781,62,62,417,639,73,3530428,Normal
co25.feb,pardiso,566,10,10,48,65,10,112140,Normal
co26.feb,pardiso,246,10,10,30,40,10,41460,Normal
co27.feb,pardiso,2274,60,24,134,160,24,2351348,Normal
co29.feb,pardiso,1221,100,101,417,546,418,2792716,Normal
co30.feb,pardiso,3457,50,50,405,455,66,7884976,Normal
co31.feb,pardiso,462,24,24,185,257,185,259860,Normal
co32.feb,pardiso,600,20,20,100,143,100,322996,Normal
co33.feb,pardiso,50332,50,50,217,337,52,47708428,Normal
co34.feb,pardiso,3233,20,20,50,70,50,1601140,Normal
co35.feb,pardiso,468,10,10,30,40,30,103820,Normal
di01.feb,pardiso,16,10,10,30,40,10,1940,Normal
di02.feb,pardiso,117,10,10,51,61,10,13580,Normal
di03.feb,pardiso,540,50,50,287,346,54,241132,Normal
dy01.feb,pardiso,24,10,10,10,20,10,3908,Normal
dy02.feb,pardiso,540,84,167,489,656,167,1525468,Normal
dy03.feb,pardiso,4953,30,41,189,301,66,4641208,Normal
dy04.feb,pardiso,3102,40,50,280,431,77,3451852,Normal
dy05.feb,pardiso,6,10,10,10,20,10,3908,Normal
dy07.feb,pardiso,279,100,100,200,300,100,476372,Normal
dy09.feb,pardiso,11904,100,100,343,492,101,24327316,Normal
fi01.feb,pardiso,84,10,10,39,49,10,10076,Normal
fi02.feb,pardiso,12,10,10,55,65,10,1796,Normal
fi03.feb,pardiso,12,50,50,1037,1860,56,6916,Normal
fi04.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi05.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi06.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi07.feb,pardiso,3630,10,10,32,42,10,535964,Normal
fi08.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi09.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi10.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi11.feb,pardiso,3630,10,10,41,51,10,535964,Normal
fi12.feb,pardiso,3630,10,10,30,40,10,535964,Normal
fi13.feb,pardiso,3630,10,10,35,45,10,535964,Normal
mi01.feb,pardiso,12,10,10,52,70,10,1796,Normal
mi02.feb,pardiso,2157,10,10,58,68,10,281164,Normal
mi03.feb,pardiso,12,50,50,125,179,125,6916,Normal
mi04.feb,pardiso,9,10,10,31,41,10,1796,Normal
mi05.feb,pardiso,28,10,10,50,60,10,2716,Normal
mi06.feb,pardiso,598,10,10,30,40,30,69548,Normal
mi09.feb,pardiso,550,10,13,68,81,13,26428,Normal
mi11.feb,pardiso,550,10,12,101,129,14,89308,Normal
mi13.feb,pardiso,12,10,10,20,30,10,1796,Normal
mi14.feb,pardiso,636,10,10,43,53,10,88188,Normal
mi15.feb,pardiso,80,400,400,736,1136,400,820788,Normal
mi16.feb,pardiso,3660,50,16,105,134,18,783012,Normal
mi17.feb,pardiso,4,10,10,10,20,10,1796,Normal
mi19.feb,pardiso,13399,10,4,10,17,4,955644,Normal
mi20.feb,pardiso,3,1,1,12,17,2,500,Normal
mi22.feb,pardiso,12,5000,25,30,55,25,3716,Normal
mi23.feb,pardiso,1008,50,14,19,33,14,190348,Normal
mi24.feb,pardiso,1220,10,10,37,47,37,198828,Normal
mi25.feb,pardiso,54,10,10,33,43,10,6940,Normal
ms01.feb,pardiso,270,10,10 50,50 193,60 243,10 50,143916,Normal
ms02.feb,pardiso,270,10,10 50,40 204,50 254,10 50,143916,Normal
ms03.feb,pardiso,12,10,10 50,30 100,40 150,10 50,8196,Normal
mu02.feb,pardiso,20,100,100,200,300,100,21076,Normal
mu03.feb,pardiso,12,10,10,30,40,10,1796,Normal
ri01.feb,pardiso,190,10,10,30,40,10,24468,Normal
ri03.feb,pardiso,4055,10,10,41,51,10,925212,Normal
ri04.feb,pardiso,5216,62,62,498,790,187,6748204,Normal
ri05.feb,pardiso,108,10,10,53,77,10,13644,Normal
ri06.feb,pardiso,136,10,13,137,240,26,165064,Normal
ri07.feb,pardiso,662,10,8,81,90,12,287284,Normal
sh01.feb,pardiso,5074,10,10,20,30,10,1159676,Normal
sh02.feb,pardiso,180,10,18,191,258,25,57292,Normal
sh03.feb,pardiso,522,10,10,50,62,10,160524,Normal
sh04.feb,pardiso,600,100,20,162,205,25,303084,Normal
sh05.feb,pardiso,1014,100,18,150,176,19,488012,Normal
sh07.feb,pardiso,301,10,14,152,237,22,98752,Normal
sh10.feb,pardiso,1087,10,11,77,94,12,350704,Normal
sh12.feb,pardiso,330,10,11,84,138,15,88400,Normal
sh13.feb,pardiso,602,10,40,516,694,71,479996,Normal
sh14.feb,pardiso,3802,10,10,64,77,10,2774028,Normal
sh15.feb,pardiso,606,10,11,55,70,12,174780,Normal
tu01.feb,pardiso,2088,10,10,29,39,10,281164,Normal
tu02.feb,pardiso,2053,10,10,80,90,10,282660,Normal
tu03.feb,pardiso,2020,10,11,88,103,13,562840,Normal
co01.feb,superlu,12,10,10,20,30,10,6108,Normal
